GAME_DATE_EST,HOME_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,NICKNAME
2021-11-10,1610612740,2021,100.0,0.351,0.719,0.257,24.0,50.0,1610612760,108.0,0.425,0.8,0.294,23.0,56.0,0,1610612740,Pelicans
2021-10-30,1610612740,2021,117.0,0.457,0.917,0.333,30.0,43.0,1610612752,123.0,0.519,0.8,0.576,22.0,37.0,0,1610612740,Pelicans
2021-10-29,1610612740,2021,109.0,0.429,0.64,0.265,18.0,49.0,1610612758,113.0,0.5,0.96,0.333,19.0,45.0,0,1610612740,Pelicans
2021-10-27,1610612740,2021,99.0,0.43,0.889,0.306,24.0,44.0,1610612737,102.0,0.417,0.824,0.267,21.0,55.0,0,1610612740,Pelicans
2021-10-20,1610612740,2021,97.0,0.419,0.667,0.433,28.0,44.0,1610612755,117.0,0.518,0.8,0.52,24.0,47.0,0,1610612740,Pelicans
2021-10-06,1610612740,2021,104.0,0.385,0.706,0.514,28.0,53.0,1610612753,86.0,0.36,0.929,0.324,19.0,47.0,1,1610612740,Pelicans
2021-05-16,1610612740,2020,98.0,0.474,0.7140000000000001,0.36,26.0,47.0,1610612747,110.0,0.469,0.6,0.314,30.0,42.0,0,1610612740,Pelicans
2021-05-04,1610612740,2020,108.0,0.402,0.818,0.4,28.0,57.0,1610612744,103.0,0.419,0.7140000000000001,0.377,22.0,48.0,1,1610612740,Pelicans
2021-05-03,1610612740,2020,108.0,0.433,0.7809999999999999,0.2,20.0,47.0,1610612744,123.0,0.534,0.857,0.386,31.0,38.0,0,1610612740,Pelicans
2021-04-26,1610612740,2020,120.0,0.537,0.654,0.517,28.0,44.0,1610612746,103.0,0.4,1.0,0.311,20.0,44.0,1,1610612740,Pelicans
2021-04-24,1610612740,2020,108.0,0.471,0.531,0.409,20.0,48.0,1610612759,110.0,0.435,0.8440000000000001,0.29,22.0,46.0,0,1610612740,Pelicans
2021-04-20,1610612740,2020,129.0,0.56,0.625,0.364,28.0,37.0,1610612751,134.0,0.551,0.7859999999999999,0.3779999999999999,30.0,44.0,0,1610612740,Pelicans
2021-04-14,1610612740,2020,106.0,0.455,0.833,0.214,25.0,49.0,1610612752,116.0,0.4539999999999999,0.846,0.515,19.0,48.0,0,1610612740,Pelicans
2021-04-12,1610612740,2020,117.0,0.545,0.6920000000000001,0.316,24.0,51.0,1610612758,110.0,0.433,0.595,0.286,21.0,34.0,1,1610612740,Pelicans
2021-04-09,1610612740,2020,101.0,0.433,0.633,0.182,22.0,56.0,1610612755,94.0,0.418,0.708,0.355,20.0,47.0,1,1610612740,Pelicans
2021-04-02,1610612740,2020,103.0,0.432,0.826,0.276,22.0,34.0,1610612737,126.0,0.563,0.7140000000000001,0.4479999999999999,25.0,42.0,0,1610612740,Pelicans
