game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over,avg_pts_1,avg_fg_pct_1,avg_ft_pct_1,avg_fg3_pct_1,avg_ast_1,avg_reb_1,delta_pts_1,delta_fg_pct_1,delta_ft_pct_1,delta_fg3_pct_1,delta_ast_1,delta_reb_1,avg_pts_2,avg_fg_pct_2,avg_ft_pct_2,avg_fg3_pct_2,avg_ast_2,avg_reb_2,delta_pts_2,delta_fg_pct_2,delta_ft_pct_2,delta_fg3_pct_2,delta_ast_2,delta_reb_2
21200035,1610612759,1610612762,110.0,0.568,0.826,0.5379999999999999,29.0,33.0,100.0,0.494,0.8640000000000001,0.385,17.0,32.0,2012-11-03,201.5,1,86.0,0.412,0.5,0.357,19.0,44.0,0.0813953488372092,-0.024271844660194,0.4280000000000001,0.3081232492997201,-0.0526315789473684,0.0909090909090908,86.0,0.4429999999999999,0.688,0.263,27.0,39.0,0.1627906976744186,-0.0135440180586902,0.1075581395348839,0.0494296577946768,-0.2222222222222222,0.2307692307692308
21200036,1610612746,1610612744,110.0,0.429,0.769,0.476,21.0,33.0,114.0,0.488,0.718,0.25,22.0,48.0,2012-11-03,197.5,1,105.0,0.452,0.778,0.364,24.0,37.0,-0.038095238095238,0.0907079646017698,-0.057840616966581,-0.14010989010989,-0.125,0.1081081081081081,94.0,0.45,0.706,0.5,21.0,36.0,0.127659574468085,0.1244444444444443,-0.0198300283286118,-0.734,0.0,0.3888888888888888
21200032,1610612745,1610612757,85.0,0.354,0.667,0.192,19.0,56.0,95.0,0.419,0.583,0.417,28.0,53.0,2012-11-03,206.0,0,92.0,0.36,0.792,0.346,17.0,44.0,0.2934782608695652,0.4222222222222223,-0.0858585858585857,0.1560693641618498,0.2352941176470588,-0.159090909090909,109.0,0.422,0.862,0.267,22.0,58.0,0.073394495412844,0.104265402843602,-0.0266821345707655,0.348314606741573,0.0909090909090908,-0.1896551724137931
21200038,1610612761,1610612750,105.0,0.444,0.882,0.476,18.0,39.0,86.0,0.4529999999999999,0.71,0.375,18.0,36.0,2012-11-04,189.0,1,100.0,0.451,0.76,0.389,23.0,37.0,-0.1099999999999999,-0.048780487804878,-0.1092105263157894,-0.06426735218509,-0.0434782608695651,-0.054054054054054,92.0,0.368,0.722,0.118,17.0,53.0,-0.0543478260869565,0.040760869565217,-0.2506925207756232,1.2288135593220342,0.1764705882352941,0.0
21200039,1610612753,1610612756,115.0,0.489,0.8420000000000001,0.818,26.0,46.0,94.0,0.429,0.611,0.263,19.0,45.0,2012-11-04,193.0,1,92.0,0.435,0.7140000000000001,0.182,15.0,52.0,0.1521739130434782,-0.0804597701149424,0.3179271708683471,0.5714285714285714,0.2666666666666666,-0.0192307692307692,102.0,0.488,0.722,0.3329999999999999,24.0,46.0,0.0784313725490195,0.0122950819672131,0.2216066481994461,0.2372372372372375,0.125,-0.0434782608695651
21200037,1610612752,1610612755,100.0,0.506,0.611,0.407,18.0,39.0,84.0,0.43,0.8,0.471,14.0,41.0,2012-11-04,187.0,0,84.0,0.43,0.8,0.471,14.0,41.0,0.1785714285714286,0.0697674418604652,0.125,0.1804670912951169,0.4285714285714286,0.048780487804878,104.0,0.429,0.867,0.528,27.0,41.0,-0.1538461538461538,-0.1445221445221443,-0.0899653979238753,-0.4696969696969697,-0.2962962962962963,0.1707317073170731
21200041,1610612747,1610612765,108.0,0.519,0.6920000000000001,0.455,27.0,46.0,79.0,0.354,0.826,0.308,19.0,33.0,2012-11-04,190.0,0,95.0,0.5,0.7140000000000001,0.4379999999999999,15.0,38.0,0.2526315789473683,0.082,-0.0994397759103642,0.0273972602739729,0.8,0.0789473684210526,89.0,0.411,0.579,0.308,20.0,39.0,0.0561797752808987,0.1654501216545012,0.1692573402417962,0.3928571428571428,0.3500000000000001,0.4615384615384614
21200040,1610612760,1610612737,95.0,0.465,0.909,0.409,27.0,37.0,104.0,0.494,0.7,0.32,20.0,38.0,2012-11-04,198.5,1,95.0,0.445,0.7725,0.484,18.0,47.5,0.0952380952380953,-0.0185676392572944,0.0665859564164648,-0.7572815533980582,-0.4444444444444444,-0.0833333333333333,102.0,0.471,0.882,0.318,23.0,36.0,0.0980392156862746,0.1740976645435243,-0.1598639455782313,0.6761006289308173,0.0434782608695651,0.1666666666666667
21200043,1610612751,1610612750,96.0,0.479,0.722,0.565,24.0,29.0,107.0,0.5,0.8,0.35,30.0,45.0,2012-11-05,194.0,1,107.0,0.457,0.73,0.4,20.0,41.0,-0.0747663551401869,0.0503282275711158,0.2054794520547944,-0.2650000000000001,0.1,-0.1951219512195121,89.0,0.4105,0.716,0.2465,17.5,44.5,-0.0543478260869565,0.040760869565217,-0.2506925207756232,1.2288135593220342,0.1764705882352941,0.0
21200044,1610612748,1610612756,124.0,0.547,0.789,0.5770000000000001,33.0,49.0,99.0,0.3979999999999999,0.759,0.3329999999999999,22.0,38.0,2012-11-05,202.5,1,93.0,0.432,0.6625000000000001,0.2225,17.0,48.5,0.1521739130434782,-0.0804597701149424,0.3179271708683471,0.5714285714285714,0.2666666666666666,-0.0192307692307692,101.5,0.4915,0.849,0.375,22.0,36.5,0.1904761904761904,-0.021505376344086,-0.1442080378250589,0.2257142857142857,0.2222222222222223,-0.1219512195121951
21200045,1610612763,1610612762,103.0,0.418,0.88,0.357,21.0,51.0,94.0,0.444,0.6920000000000001,0.3329999999999999,20.0,42.0,2012-11-05,195.5,1,104.0,0.455,0.8240000000000001,0.462,22.0,40.0,-0.0961538461538461,-0.1472527472527475,0.0703883495145629,-0.6904761904761905,-0.2272727272727273,0.1,93.0,0.4529999999999999,0.682,0.371,18.0,38.0,0.0813953488372092,-0.024271844660194,0.4280000000000001,0.3081232492997201,-0.0526315789473684,0.0909090909090908
21200042,1610612755,1610612752,88.0,0.337,0.846,0.364,19.0,54.0,110.0,0.4639999999999999,1.0,0.406,24.0,44.0,2012-11-05,184.0,1,84.0,0.43,0.8,0.471,14.0,41.0,0.1785714285714286,0.0697674418604652,0.125,0.1804670912951169,0.4285714285714286,0.048780487804878,102.0,0.4675,0.739,0.4675,22.5,40.0,-0.1538461538461538,-0.1445221445221443,-0.0899653979238753,-0.4696969696969697,-0.2962962962962963,0.1707317073170731
21200047,1610612759,1610612754,101.0,0.471,0.846,0.444,25.0,45.0,79.0,0.342,0.8640000000000001,0.3,11.0,48.0,2012-11-05,193.5,0,97.5,0.3959999999999999,0.741,0.2254999999999999,17.5,59.5,-0.0449438202247191,-0.0577889447236178,0.087689713322091,-0.0706319702602227,0.0,0.0192307692307691,98.0,0.5055,0.7569999999999999,0.4004999999999999,28.0,36.0,0.1627906976744186,-0.0135440180586902,0.1075581395348839,0.0494296577946768,-0.2222222222222222,0.2307692307692308
