,game_id,home_team_id,visitor_team_id,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,date,total1,hit_over
640,21200078,1610612758,1610612759,86.0,0.352,0.731,0.188,18.0,43.0,97.0,0.486,0.846,0.278,27.0,48.0,2012-11-09,198.5,0
650,21200079,1610612743,1610612762,104.0,0.435,0.72,0.353,26.0,53.0,84.0,0.368,0.727,0.174,19.0,45.0,2012-11-09,203.5,0
660,21200080,1610612747,1610612744,101.0,0.4,0.75,0.286,22.0,58.0,77.0,0.337,0.6,0.28,12.0,47.0,2012-11-09,198.5,0
670,21200081,1610612761,1610612755,83.0,0.38,0.688,0.462,20.0,35.0,93.0,0.466,0.76,0.429,21.0,46.0,2012-11-10,186.0,0
680,21200082,1610612754,1610612764,89.0,0.425,0.583,0.4379999999999999,16.0,48.0,85.0,0.4429999999999999,0.7140000000000001,0.417,26.0,40.0,2012-11-10,185.5,0
690,21200083,1610612766,1610612742,101.0,0.421,0.643,0.15,15.0,53.0,97.0,0.405,0.8,0.474,21.0,43.0,2012-11-10,200.0,0
700,21200085,1610612745,1610612765,96.0,0.402,0.8079999999999999,0.346,23.0,42.0,82.0,0.4,0.688,0.35,17.0,45.0,2012-11-10,194.5,0
710,21200084,1610612741,1610612750,87.0,0.425,0.813,0.462,19.0,47.0,80.0,0.3879999999999999,0.733,0.231,23.0,40.0,2012-11-10,183.5,0
720,21200087,1610612762,1610612756,94.0,0.487,0.667,0.143,22.0,52.0,81.0,0.368,0.765,0.25,15.0,37.0,2012-11-10,203.0,0
730,21200088,1610612757,1610612759,109.0,0.472,0.789,0.455,23.0,37.0,112.0,0.5710000000000001,0.8059999999999999,0.389,20.0,36.0,2012-11-10,197.0,1
740,21200089,1610612744,1610612743,101.0,0.382,0.609,0.36,23.0,54.0,107.0,0.381,0.593,0.208,30.0,65.0,2012-11-10,203.0,1
750,21200086,1610612749,1610612738,92.0,0.3979999999999999,0.731,0.158,20.0,44.0,96.0,0.444,0.794,0.3329999999999999,20.0,40.0,2012-11-10,194.0,0
760,21200094,1610612747,1610612758,103.0,0.444,0.767,0.32,23.0,50.0,90.0,0.4,0.7859999999999999,0.304,20.0,39.0,2012-11-11,192.0,1
770,21200093,1610612760,1610612739,106.0,0.5479999999999999,0.8640000000000001,0.467,20.0,41.0,91.0,0.41,0.696,0.304,19.0,36.0,2012-11-11,202.0,0
780,21200092,1610612763,1610612748,104.0,0.442,0.875,0.583,26.0,43.0,86.0,0.38,0.611,0.267,18.0,43.0,2012-11-11,193.5,0
790,21200091,1610612746,1610612737,89.0,0.4629999999999999,1.0,0.3329999999999999,21.0,38.0,76.0,0.417,0.4379999999999999,0.36,20.0,41.0,2012-11-11,195.0,0
800,21200090,1610612751,1610612753,82.0,0.3720000000000001,0.68,0.292,20.0,55.0,74.0,0.357,0.722,0.077,22.0,42.0,2012-11-11,190.5,0
810,21200097,1610612765,1610612760,90.0,0.3979999999999999,0.667,0.353,22.0,39.0,92.0,0.37,0.8809999999999999,0.1,10.0,44.0,2012-11-12,193.5,0
820,21200095,1610612761,1610612762,133.0,0.472,0.767,0.3329999999999999,31.0,52.0,140.0,0.495,0.7909999999999999,0.5379999999999999,30.0,46.0,2012-11-12,192.5,1
830,21200096,1610612755,1610612749,96.0,0.435,0.75,0.417,22.0,31.0,105.0,0.513,0.889,0.35,25.0,48.0,2012-11-12,191.0,1
840,21200098,1610612741,1610612738,95.0,0.4589999999999999,0.774,0.3329999999999999,24.0,40.0,101.0,0.506,1.0,0.188,28.0,34.0,2012-11-12,184.5,1
850,21200100,1610612742,1610612750,82.0,0.363,0.8,0.25,16.0,35.0,90.0,0.462,0.813,0.267,20.0,49.0,2012-11-12,191.0,0
860,21200101,1610612756,1610612743,110.0,0.457,0.81,0.583,29.0,40.0,100.0,0.539,0.611,0.4379999999999999,26.0,43.0,2012-11-12,203.0,1
870,21200102,1610612757,1610612737,87.0,0.361,0.8079999999999999,0.261,15.0,47.0,95.0,0.4429999999999999,0.818,0.389,20.0,41.0,2012-11-12,193.5,0
880,21200099,1610612745,1610612748,110.0,0.45,0.7879999999999999,0.353,25.0,40.0,113.0,0.506,0.65,0.476,26.0,44.0,2012-11-12,194.5,1
890,21200108,1610612747,1610612759,82.0,0.419,0.636,0.3,18.0,48.0,84.0,0.389,0.636,0.35,22.0,38.0,2012-11-13,196.0,0
900,21200107,1610612758,1610612757,86.0,0.4679999999999999,0.684,0.091,19.0,33.0,103.0,0.486,0.8640000000000001,0.519,20.0,44.0,2012-11-13,197.0,0
910,21200106,1610612751,1610612739,114.0,0.545,0.8059999999999999,0.2269999999999999,27.0,39.0,101.0,0.4370000000000001,0.846,0.214,16.0,35.0,2012-11-13,196.0,1
920,21200105,1610612754,1610612761,72.0,0.32,0.76,0.3329999999999999,14.0,49.0,74.0,0.361,0.8420000000000001,0.5,13.0,45.0,2012-11-13,185.5,0
930,21200104,1610612753,1610612752,89.0,0.493,0.588,0.357,28.0,42.0,99.0,0.488,0.727,0.375,15.0,31.0,2012-11-13,188.0,0
940,21200103,1610612766,1610612764,92.0,0.397,0.8440000000000001,0.231,17.0,50.0,76.0,0.298,0.6559999999999999,0.161,18.0,50.0,2012-11-13,191.0,0
950,21200109,1610612755,1610612765,76.0,0.298,0.6559999999999999,0.313,15.0,38.0,94.0,0.479,0.677,0.429,27.0,57.0,2012-11-14,186.0,0
960,21200110,1610612738,1610612762,98.0,0.5,0.759,0.4,24.0,33.0,93.0,0.402,0.7140000000000001,0.467,18.0,48.0,2012-11-14,191.0,0
970,21200111,1610612749,1610612754,99.0,0.418,0.8,0.188,24.0,46.0,85.0,0.375,0.645,0.25,19.0,53.0,2012-11-14,189.5,0
980,21200112,1610612745,1610612740,100.0,0.45,0.818,0.345,19.0,40.0,96.0,0.405,0.952,0.3329999999999999,17.0,38.0,2012-11-14,184.5,1
990,21200113,1610612760,1610612763,97.0,0.486,0.8079999999999999,0.462,23.0,40.0,107.0,0.473,0.857,0.412,22.0,39.0,2012-11-14,194.5,1
1000,21200118,1610612744,1610612737,92.0,0.465,0.84,0.278,23.0,44.0,88.0,0.436,0.722,0.304,21.0,29.0,2012-11-14,192.5,0
1010,21200115,1610612742,1610612764,107.0,0.5,0.7879999999999999,0.273,20.0,40.0,101.0,0.481,0.909,0.481,24.0,34.0,2012-11-14,192.0,1
1020,21200116,1610612756,1610612741,106.0,0.4,0.941,0.286,19.0,51.0,112.0,0.5,0.72,0.5,26.0,46.0,2012-11-14,190.5,1
1030,21200117,1610612746,1610612748,107.0,0.486,0.8440000000000001,0.476,22.0,38.0,100.0,0.455,0.7240000000000001,0.429,22.0,36.0,2012-11-14,197.0,1
1040,21200114,1610612750,1610612766,87.0,0.3829999999999999,0.541,0.263,20.0,53.0,89.0,0.452,0.643,0.25,15.0,43.0,2012-11-14,182.5,0
1050,21200119,1610612751,1610612738,102.0,0.424,0.7859999999999999,0.364,19.0,47.0,97.0,0.467,0.8,0.5379999999999999,17.0,44.0,2012-11-15,190.5,1
1060,21200121,1610612743,1610612748,93.0,0.42,0.684,0.3,19.0,48.0,98.0,0.4679999999999999,0.813,0.481,24.0,29.0,2012-11-15,202.0,0
1070,21200120,1610612759,1610612752,100.0,0.4370000000000001,0.762,0.276,21.0,48.0,104.0,0.4529999999999999,0.652,0.423,17.0,41.0,2012-11-15,195.5,1
